
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 138 IR: 740.33 PING: 170.00 cm
Angle: 140 IR: 533.00 PING: 132.00 cm
Angle: 142 IR: 588.67 PING: 102.00 cm
Angle: 144 IR: 836.67 PING: 116.67 cm
Angle: 146 IR: 826.33 PING: 108.33 cm
Angle: 148 IR: 570.33 PING: 105.00 cm
Angle: 150 IR: 518.33 PING: 70.00 cm
Angle: 152 IR: 562.67 PING: 80.00 cm
Angle: 154 IR: 878.33 PING: 128.00 cm
Angle: 156 IR: 777.00 PING: 110.33 cm
Angle: 158 IR: 722.33 PING: 78.67 cm
Angle: 160 IR: 733.67 PING: 108.67 cm
Angle: 162 IR: 746.33 PING: 79.67 cm
Angle: 164 IR: 740.67 PING: 151.00 cm
Angle: 166 IR: 733.67 PING: 127.33 cm
Angle: 168 IR: 730.00 PING: 93.00 cm
Angle: 170 IR: 733.67 PING: 59.67 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 1007.00 PING: 67.00 cm
Angle: 2 IR: 792.33 PING: 52.67 cm
Angle: 4 IR: 820.33 PING: 43.33 cm
Angle: 6 IR: 632.00 PING: 50.33 cm
Angle: 8 IR: 563.00 PING: 43.67 cm
Angle: 10 IR: 582.33 PING: 57.67 cm
Angle: 12 IR: 591.00 PING: 41.00 cm
Angle: 14 IR: 628.67 PING: 70.00 cm
Angle: 16 IR: 661.67 PING: 57.33 cm
Angle: 18 IR: 715.67 PING: 61.00 cm
Angle: 20 IR: 780.33 PING: 71.00 cm
Angle: 22 IR: 785.00 PING: 104.00 cm
Angle: 24 IR: 873.00 PING: 135.33 cm
Angle: 26 IR: 892.67 PING: 108.00 cm
Angle: 28 IR: 901.67 PING: 97.33 cm
Angle: 30 IR: 864.33 PING: 49.67 cm
Angle: 32 IR: 763.00 PING: 129.00 cm
Angle: 34 IR: 666.33 PING: 223.00 cm
Angle: 36 IR: 1018.67 PING: 107.00 cm
Angle: 38 IR: 1057.67 PING: 34.00 cm
Angle: 40 IR: 1081.00 PING: 117.33 cm
Angle: 42 IR: 1115.67 PING: 228.67 cm
Angle: 44 IR: 1105.67 PING: 283.33 cm
Angle: 46 IR: 1141.33 PING: 28.67 cm
Angle: 48 IR: 1171.33 PING: 68.33 cm
